Application_ID,Patent_Examiner_ID,Novelty_Status,Inventive_Status,Applicability_Status
249801,500001,TRUE,TRUE,TRUE
249802,500002,TRUE,TRUE,TRUE
249803,500003,TRUE,TRUE,TRUE
249804,500004,TRUE,TRUE,TRUE
249805,500005,TRUE,TRUE,TRUE
249806,500006,TRUE,TRUE,TRUE
249807,500007,TRUE,TRUE,TRUE
249808,500008,TRUE,TRUE,TRUE
249809,500009,TRUE,TRUE,TRUE
249810,500010,TRUE,TRUE,TRUE
249811,500011,TRUE,TRUE,TRUE
249812,500012,TRUE,TRUE,TRUE
249813,500013,TRUE,TRUE,TRUE
249814,500014,TRUE,TRUE,TRUE
249815,500015,TRUE,TRUE,TRUE
249816,500016,TRUE,TRUE,TRUE
249817,500017,TRUE,TRUE,TRUE
249818,500018,TRUE,TRUE,TRUE
249819,500019,TRUE,TRUE,TRUE
249820,500020,TRUE,TRUE,TRUE
249821,500021,TRUE,TRUE,TRUE
249822,500022,TRUE,TRUE,TRUE
249823,500023,TRUE,TRUE,TRUE
249824,500024,TRUE,TRUE,TRUE
249825,500025,TRUE,TRUE,TRUE
249826,500026,TRUE,TRUE,TRUE
249827,500027,TRUE,TRUE,TRUE
249828,500028,TRUE,TRUE,TRUE
249829,500029,TRUE,TRUE,TRUE
249830,500030,TRUE,TRUE,TRUE
249831,500031,TRUE,TRUE,TRUE
249832,500032,TRUE,TRUE,TRUE
249833,500033,TRUE,TRUE,TRUE
249834,500034,TRUE,TRUE,TRUE
249835,500035,TRUE,TRUE,TRUE
249836,500036,TRUE,TRUE,TRUE
249837,500037,TRUE,TRUE,TRUE
249838,500038,TRUE,TRUE,TRUE
249839,500039,TRUE,TRUE,TRUE
249840,500040,TRUE,TRUE,TRUE
249841,500041,TRUE,TRUE,TRUE
249842,500042,TRUE,TRUE,TRUE
249843,500043,TRUE,TRUE,TRUE
249844,500044,TRUE,TRUE,TRUE
249845,500045,TRUE,TRUE,TRUE
249846,500046,TRUE,TRUE,TRUE
249847,500047,TRUE,TRUE,TRUE
249848,500048,TRUE,TRUE,TRUE
249849,500049,TRUE,TRUE,TRUE
249850,500050,TRUE,TRUE,TRUE
249851,500051,TRUE,TRUE,TRUE
249852,500052,TRUE,TRUE,TRUE
249853,500053,TRUE,TRUE,TRUE
249854,500054,TRUE,TRUE,TRUE
249855,500055,TRUE,TRUE,TRUE
249856,500056,TRUE,TRUE,TRUE
249857,500057,TRUE,TRUE,TRUE
249858,500058,TRUE,TRUE,TRUE
249859,500059,TRUE,TRUE,TRUE
249860,500060,TRUE,TRUE,TRUE
249861,500061,TRUE,TRUE,TRUE
249862,500062,TRUE,TRUE,TRUE
249863,500063,TRUE,TRUE,TRUE
249864,500064,TRUE,TRUE,TRUE
249865,500065,TRUE,TRUE,TRUE
249866,500066,TRUE,TRUE,TRUE
249867,500067,TRUE,TRUE,TRUE
249868,500068,TRUE,TRUE,TRUE
249869,500069,TRUE,TRUE,TRUE
249870,500070,TRUE,TRUE,TRUE
249871,500071,TRUE,TRUE,TRUE
249872,500072,TRUE,TRUE,TRUE
249873,500073,TRUE,TRUE,TRUE
249874,500074,TRUE,TRUE,TRUE
249875,500075,TRUE,TRUE,TRUE
249876,500076,TRUE,TRUE,TRUE
249877,500077,TRUE,TRUE,TRUE
249878,500078,TRUE,TRUE,TRUE
249879,500079,TRUE,TRUE,TRUE
249880,500080,TRUE,TRUE,TRUE
249881,500081,TRUE,TRUE,TRUE
249882,500082,TRUE,TRUE,TRUE
249883,500083,TRUE,TRUE,TRUE
249884,500084,TRUE,TRUE,TRUE
249885,500085,TRUE,TRUE,TRUE
249886,500086,TRUE,TRUE,TRUE
249887,500087,TRUE,TRUE,TRUE
249888,500088,TRUE,TRUE,TRUE
249889,500089,TRUE,TRUE,TRUE
249890,500090,TRUE,TRUE,TRUE
249891,500091,TRUE,TRUE,TRUE
249892,500092,TRUE,TRUE,TRUE
249893,500093,TRUE,TRUE,TRUE
249894,500094,TRUE,TRUE,TRUE
249895,500095,TRUE,TRUE,TRUE
249896,500096,TRUE,TRUE,TRUE
249897,500097,TRUE,TRUE,TRUE
249898,500098,TRUE,TRUE,TRUE
249899,500099,TRUE,TRUE,TRUE
249900,500100,TRUE,TRUE,TRUE
249901,500101,TRUE,TRUE,TRUE
249902,500102,TRUE,TRUE,TRUE
249903,500103,TRUE,TRUE,TRUE
249904,500104,TRUE,TRUE,TRUE
249905,500105,TRUE,TRUE,TRUE
249906,500106,TRUE,TRUE,TRUE
249907,500107,TRUE,TRUE,TRUE
249908,500108,TRUE,TRUE,TRUE
249909,500109,TRUE,TRUE,TRUE
249910,500110,TRUE,TRUE,TRUE
249911,500111,TRUE,TRUE,TRUE
249912,500112,TRUE,TRUE,TRUE
249913,500113,TRUE,TRUE,TRUE
249914,500114,TRUE,TRUE,TRUE
249915,500115,TRUE,TRUE,TRUE
249916,500116,TRUE,TRUE,TRUE
249917,500117,TRUE,TRUE,TRUE
249918,500118,TRUE,TRUE,TRUE
249919,500119,TRUE,TRUE,TRUE
249920,500120,TRUE,TRUE,TRUE
249921,500121,TRUE,TRUE,TRUE
249922,500122,TRUE,TRUE,TRUE
249923,500123,TRUE,TRUE,TRUE
249924,500124,TRUE,TRUE,TRUE
249925,500125,TRUE,TRUE,TRUE
249926,500126,TRUE,TRUE,TRUE
249927,500127,TRUE,TRUE,TRUE
249928,500128,TRUE,TRUE,TRUE
249929,500129,TRUE,TRUE,TRUE
249930,500130,TRUE,TRUE,TRUE
249931,500131,TRUE,TRUE,TRUE
249932,500132,TRUE,TRUE,TRUE
249933,500133,TRUE,TRUE,TRUE
249934,500134,TRUE,TRUE,TRUE
249935,500135,TRUE,TRUE,TRUE
249936,500136,TRUE,TRUE,TRUE
249937,500137,TRUE,TRUE,TRUE
249938,500138,TRUE,TRUE,TRUE
249939,500139,TRUE,TRUE,TRUE
249940,500140,TRUE,TRUE,TRUE
249941,500141,TRUE,TRUE,TRUE
249942,500142,TRUE,TRUE,TRUE
249943,500143,TRUE,TRUE,TRUE
249944,500144,TRUE,TRUE,TRUE
249945,500145,TRUE,TRUE,TRUE
249946,500146,TRUE,TRUE,TRUE
249947,500147,TRUE,TRUE,TRUE
249948,500148,TRUE,TRUE,TRUE
249949,500149,TRUE,TRUE,TRUE
249950,500150,TRUE,TRUE,TRUE
249951,500151,TRUE,TRUE,TRUE
249952,500152,TRUE,TRUE,TRUE
249953,500153,TRUE,TRUE,TRUE
249954,500154,TRUE,TRUE,TRUE
249955,500155,TRUE,TRUE,TRUE
249956,500156,TRUE,TRUE,TRUE
249957,500157,TRUE,TRUE,TRUE
249958,500158,TRUE,TRUE,TRUE
249959,500159,TRUE,TRUE,TRUE
249960,500160,TRUE,TRUE,TRUE
249961,500161,TRUE,TRUE,TRUE
249962,500162,TRUE,TRUE,TRUE
249963,500163,TRUE,TRUE,TRUE
249964,500164,TRUE,TRUE,TRUE
249965,500165,TRUE,TRUE,TRUE
249966,500166,TRUE,TRUE,TRUE
249967,500167,TRUE,TRUE,TRUE
249968,500168,TRUE,TRUE,TRUE
249969,500169,TRUE,TRUE,TRUE
249970,500170,TRUE,TRUE,TRUE
249971,500171,TRUE,TRUE,TRUE
249972,500172,TRUE,TRUE,TRUE
249973,500173,TRUE,TRUE,TRUE
249974,500174,TRUE,TRUE,TRUE
249975,500175,TRUE,TRUE,TRUE
249976,500176,TRUE,TRUE,TRUE
249977,500177,TRUE,TRUE,TRUE
249978,500178,TRUE,TRUE,TRUE
249979,500179,TRUE,TRUE,TRUE
249980,500180,TRUE,TRUE,TRUE
249981,500181,TRUE,TRUE,TRUE
249982,500182,TRUE,TRUE,TRUE
249983,500183,TRUE,TRUE,TRUE
249984,500184,TRUE,TRUE,TRUE
249985,500185,TRUE,TRUE,TRUE
249986,500186,TRUE,TRUE,TRUE
249987,500187,TRUE,TRUE,TRUE
249988,500188,TRUE,TRUE,TRUE
249989,500189,TRUE,TRUE,TRUE
249990,500190,TRUE,TRUE,TRUE
249991,500191,TRUE,TRUE,TRUE
249992,500192,TRUE,TRUE,TRUE
249993,500193,TRUE,TRUE,TRUE
249994,500194,TRUE,TRUE,TRUE
249995,500195,TRUE,TRUE,TRUE
249996,500196,TRUE,TRUE,TRUE
249997,500197,TRUE,TRUE,TRUE
249998,500198,TRUE,TRUE,TRUE
249999,500199,TRUE,TRUE,TRUE
250000,500200,TRUE,TRUE,TRUE
250001,500201,TRUE,TRUE,TRUE
250002,500202,TRUE,TRUE,TRUE
250003,500203,TRUE,TRUE,TRUE
250004,500204,TRUE,TRUE,TRUE
250005,500205,TRUE,TRUE,TRUE
250006,500206,TRUE,TRUE,TRUE
250007,500207,TRUE,TRUE,TRUE
250008,500208,TRUE,TRUE,TRUE
250009,500209,TRUE,TRUE,TRUE
250010,500210,TRUE,TRUE,TRUE
250011,500211,TRUE,TRUE,TRUE
250012,500212,TRUE,TRUE,TRUE
250013,500213,TRUE,TRUE,TRUE
250014,500214,TRUE,TRUE,TRUE
250015,500215,TRUE,TRUE,TRUE
250016,500216,TRUE,TRUE,TRUE
250017,500217,TRUE,TRUE,TRUE
250018,500218,TRUE,TRUE,TRUE
250019,500219,TRUE,TRUE,TRUE
250020,500220,TRUE,TRUE,TRUE
250021,500221,TRUE,TRUE,TRUE
250022,500222,TRUE,TRUE,TRUE
250023,500223,TRUE,TRUE,TRUE
250024,500224,TRUE,TRUE,TRUE
250025,500225,TRUE,TRUE,TRUE
250026,500226,TRUE,TRUE,TRUE
250027,500227,TRUE,TRUE,TRUE
250028,500228,TRUE,TRUE,TRUE
250029,500229,TRUE,TRUE,TRUE
250030,500230,TRUE,TRUE,TRUE
250031,500231,TRUE,TRUE,TRUE
250032,500232,TRUE,TRUE,TRUE
250033,500233,TRUE,TRUE,TRUE
250034,500234,TRUE,TRUE,TRUE
250035,500235,TRUE,TRUE,TRUE
250036,500236,TRUE,TRUE,TRUE
250037,500237,TRUE,TRUE,TRUE
250038,500238,TRUE,TRUE,TRUE
250039,500239,TRUE,TRUE,TRUE
250040,500240,TRUE,TRUE,TRUE
250041,500241,TRUE,TRUE,TRUE
250042,500242,TRUE,TRUE,TRUE
250043,500243,TRUE,TRUE,TRUE
250044,500244,TRUE,TRUE,TRUE
250045,500245,TRUE,TRUE,TRUE
250046,500246,TRUE,TRUE,TRUE
250047,500247,TRUE,TRUE,TRUE
250048,500248,TRUE,TRUE,TRUE
250049,500249,TRUE,TRUE,TRUE
250050,500250,TRUE,TRUE,FALSE
250051,500251,FALSE,TRUE,TRUE
250052,500252,TRUE,TRUE,FALSE
250053,500253,TRUE,TRUE,FALSE
250054,500254,TRUE,TRUE,FALSE
250055,500255,TRUE,FALSE,TRUE
250056,500256,TRUE,TRUE,FALSE
250057,500257,TRUE,FALSE,TRUE
250058,500258,FALSE,TRUE,TRUE
