Application_ID,Status,Patent_Examiner_ID,Patent_Attorney_ID,Office_ID
249801,Approved,500001,345001,1
249802,Approved,500002,345002,2
249803,Approved,500003,345003,3
249804,Approved,500004,345004,4
249805,Approved,500005,345005,1
249806,Approved,500006,345006,2
249807,Approved,500007,345007,3
249808,Approved,500008,345008,4
249809,Approved,500009,345009,1
249810,Approved,500010,345010,2
249811,Approved,500011,345011,3
249812,Approved,500012,345012,4
249813,Approved,500013,345013,1
249814,Approved,500014,345014,2
249815,Approved,500015,345015,3
249816,Approved,500016,345016,4
249817,Approved,500017,345017,1
249818,Approved,500018,345018,2
249819,Approved,500019,345019,3
249820,Approved,500020,345020,4
249821,Approved,500021,345021,1
249822,Approved,500022,345022,2
249823,Approved,500023,345023,3
249824,Approved,500024,345024,4
249825,Approved,500025,345025,1
249826,Approved,500026,345026,2
249827,Approved,500027,345027,3
249828,Approved,500028,345028,4
249829,Approved,500029,345029,1
249830,Approved,500030,345030,2
249831,Approved,500031,345031,3
249832,Approved,500032,345032,4
249833,Approved,500033,345033,1
249834,Approved,500034,345034,2
249835,Approved,500035,345035,3
249836,Approved,500036,345036,4
249837,Approved,500037,345037,1
249838,Approved,500038,345038,2
249839,Approved,500039,345039,3
249840,Approved,500040,345040,4
249841,Approved,500041,345041,1
249842,Approved,500042,345042,2
249843,Approved,500043,345043,3
249844,Approved,500044,345044,4
249845,Approved,500045,345045,1
249846,Approved,500046,345046,2
249847,Approved,500047,345047,3
249848,Approved,500048,345048,4
249849,Approved,500049,345049,1
249850,Approved,500050,345050,2
249851,Approved,500051,345051,3
249852,Approved,500052,345052,4
249853,Approved,500053,345053,1
249854,Approved,500054,345054,2
249855,Approved,500055,345055,3
249856,Approved,500056,345056,4
249857,Approved,500057,345057,1
249858,Approved,500058,345058,2
249859,Approved,500059,345059,3
249860,Approved,500060,345060,4
249861,Approved,500061,345061,1
249862,Approved,500062,345062,2
249863,Approved,500063,345063,3
249864,Approved,500064,345064,4
249865,Approved,500065,345065,1
249866,Approved,500066,345066,2
249867,Approved,500067,345067,3
249868,Approved,500068,345068,4
249869,Approved,500069,345069,1
249870,Approved,500070,345070,2
249871,Approved,500071,345071,3
249872,Approved,500072,345072,4
249873,Approved,500073,345073,1
249874,Approved,500074,345074,2
