Rank,Company
1,Optum
2,Nielsen
3,Video Research Ltd.
4,Equifax
5,Kantar
6,QuintilesIMS
7,Ipsos
8,Gartner
9,GfK
10,Verisk Analytics
11,IRI
12,Acxiom Corp.
13,Tableau Software
14,Experian Consumer insight
15,"Westat, Inc."
16,Rocket Fuel
17,Wood Mackenzie
18,Dunnhumby
19,Intage Holdings
20,Harte-Hanks Marketing
21,iDC
22,Informa Financial Intelligence
23,NPD Group
24,J.D. Power
25,comScore
26,Macromill
27,Simon-Kucher & Partners
28,Qualtrics
29,Gallup
30,"Research Now Group, Inc"
31,ICF International
32,Information Services Group
33,Forrester Research
34,SurveyMonkey
35,Toluna
36,DRG (Decision Resources Group)
37,MaritzCX
38,Survey Sampling International
39,Abt SRBI
40,LRW (Lieberman Research Worldwide)
41,GlobalData Plc
42,YouGov
43,Leger
44,Mediametrie
45,ORC International
46,Creston
47,National Research Corp
48,FocusVision
49,PRS IN VIVO
50,NRC health
51,Cello health
52,Teradata UK
53,Euromonitor
54,Confirmit
55,Vision Critical
56,C Space
57,Mintel Group
58,Google Analytics 360
59,Blueocean Market Intelligence
60,"Burke, Inc."
61,Periscope by McKinsey
62,Ebiquity
63,Schlesinger Associates
64,Medallia
65,Convergys Analytics
66,Market Strategies International
67,MarketCast
68,"Morpace, Inc."
69,Nepa AB
70,Market Force
71,Service Management Group (SMG)
72,Idea Couture
73,LRA by Deloitte
74,Focus Pointe Global
75,Directions Research
76,Precise Media Monitoring
77,Hanover Research
78,MARU / Matchbox
79,Environics
80,De La Riva Group
81,SKIM
82,Phoenix Marketing International
83,MarketVision Research
84,Radius Global Market Research
85,Simmons Research
86,NatCen
87,Brainjuicer
88,Kelton
89,Fors Marsh Group
90,Provokers
91,Isobar Marketing Intelligence
92,Insites Consulting
93,Hall & Partners
94,SSRS
95,Decision Analyst
96,Twitter
97,Double Helix
98,The Link Group
99,Flamingo Research
100,MMR Research Worldwide
101,Zappistore
102,20/20 Research
103,Forethought Research
104,Gongos
105,Stylus
106,Acturus
107,Lucid
108,The Research Partnership
109,NAXIoN
110,KS&R
111,QuestionPro
112,Bellomy Research
113,Chadwick Martin Bailey
114,Illuminas
115,Frost & Sullivan
116,Hypothesis Group
117,Future Thinking
118,RTi Research
119,Azure Knowledge
120,Cint
121,Luth
122,Netbase
123,WorldOne Research
124,Hay Group Insight
125,Amazon Mechanical Turk
126,Hotspex Inc
127,Populus group
128,BDRC Continental
129,Defaqto
130,SurveyGizmo
131,Eolas International
132,Incite Marketing Planning
133,Markit Economics
134,Adelphi international Research
135,Q Research Solutions
136,Datamonitor
137,InCrowd Inc
138,Firefish
139,Realeyes
140,MSW ARS
141,Business Research group
142,Avention UK
143,Quadrangle
144,Marketing sciences Unlimited
145,Strategy Analytics
146,Brandtrust
147,iCM Research Unlimited
148,2CV
149,The Planning shop international
150,Ameritest
