Patent_ID,Patentee_ID,Title,Subject,Inventor,Expense in US$,Patent_Attorney_ID,Patent_Examiner_ID,Office_ID,Date_of_Grant,Date_of_Expiry,Opposition_Filled_Status,Filling_Language,Validation_States
171203,102038,"The world before sports: hunting, gathering and ritual games",Computer Science,Mark M. Carhart,666419,345001,500001,,1983-09-23,2003-09-23,False,Greek,Expired
171211,100812,The development of sports. The first known types of sports,Computer Science,"Andrei Shleifer, Robert W. Vishny",426064,345002,500002,,1987-08-13,2007-08-13,False,English,Expired
171212,101251,The role of sports in the developing of children. The playing instinct,Computer Science,"Rafael La Porta, Florencio Lopez-De-Silanes, Andrei Shleifer",449805,345003,500003,,1982-10-15,2002-10-15,False,English,Expired
171216,101960,Child games: how do little humans invent their own sports?,Computer Science,"NARASIMHAN JEGADEESH, SHERIDAN TITMAN",336141,345004,500004,,2015-03-16,2035-03-16,True,English,Approved
171220,100786,Women in sports: when and why they were not allowed to play sport games?,Computer Science,"EUGENE F. FAMA, KENNETH R. FRENCH",442824,345005,500005,,1992-07-02,2012-07-02,False,English,Expired
171222,102425,Steroids and drugs in sports. Is this a modern issue?,Computer Science,"RAFAEL LA PORTA, FLORENCIO LOPEZ-DE-SILANES, ANDREI SHLEIFER, ROBERT W. VISHNY",621576,345006,500006,,1987-11-03,2007-11-03,False,English,Expired
171227,100742,The history of Olympic games and their impact on the development of sport culture,Computer Science,MICHAEL C. JENSEN,949873,345007,500007,,2006-01-06,2026-01-06,True,English,Approved
171232,100657,Is professional sport harmful for health?,Computer Science,Edward I. Altman,994253,345008,500008,,2011-06-14,2031-06-14,False,English,Approved
171237,100796,Sport bets. A metaindustry of entertainment,Computer Science,"Kent Daniel, David Hirshleifer, Avanidhar Subrahmanyam",274330,345009,500009,,1999-11-12,2019-11-12,True,English,Expired
171241,100516,Sport injuries and professional traumas,Computer Science,"EUGENE F. FAMA, KENNETH R. FRENCH",292924,345010,500010,,1994-10-12,2014-10-12,False,English,Expired
171247,100401,Sport as political instrument,Computer Science,"WERNER F. M. De BONDT, RICHARD THALER",619123,345011,500011,,2003-06-25,2023-06-25,True,English,Approved
171253,101874,Corruption in sport,Computer Science,"LAWRENCE R. GLOSTEN, RAVI JAGANNATHAN, DAVID E. RUNKLE",760217,345012,500012,,1994-09-06,2014-09-06,False,English,Expired
171260,100551,Sport and gender. Transgender sportspeople,Computer Science,"Ronald C. Anderson, David M. Reeb",218593,345013,500013,,2009-06-23,2029-06-23,True,English,Approved
171264,100128,Sport and militaristic society,Computer Science,"RAGHURAM G. RAJAN, LUIGI ZINGALES",539408,345014,500014,,2016-05-18,2036-05-18,False,English,Approved
171269,101699,The impact of sports to the emotional well-being of a person,Computer Science,Harry Markowitz,580939,345015,500015,,1986-02-16,2006-02-16,True,English,Expired
171273,100043,Sports and physiological reactions,Computer Science,William Vickrey,341555,345016,500016,,1992-01-01,2012-01-01,True,English,Expired
171282,100446,What can be considered sport in the modern world?,Computer Science,"Andrei Shleifer, Robert W. Vishny",712118,345017,500017,,1996-08-14,2016-08-14,True,English,Expired
171290,102099,Professional and amateur sports,Computer Science,William F. Sharpe,729565,345018,500018,,2007-10-27,2027-10-27,False,English,Approved
171293,101201,Spectator sports and their impact on culture,Computer Science,"Ravi Bansal, Amir Yaron",893649,345019,500019,,2010-05-14,2030-05-14,False,English,Approved
171301,100420,Sports and media: why people who are not playing like to watch?,Computer Science,"MALCOLM BAKER, JEFFREY WURGLER",981005,345020,500020,,1995-04-11,2015-04-11,True,English,Expired
171302,100932,Sports and fan culture,Computer Science,"ANDREW ANG, ROBERT J. HODRICK, YUHANG XING, XIAOYAN ZHANG",224499,345021,500021,,1993-02-05,2013-02-05,True,English,Expired
171306,100941,Sports and aggression,Computer Science,"MITCHELL A. PETERSEN, RAGHURAM G. RAJAN",483259,345022,500022,,1988-06-23,2008-06-23,False,English,Expired
171310,100268,Paralympic games,Computer Science,"Harrison Hong, Jeremy C. Stein",247206,345023,500023,,1986-06-21,2006-06-21,False,English,Expired
171315,102443,"Sports, disabilities and rehabilitation",Computer Science,"Rafael La Porta, Florencio Lopez-De-Silanes, Andrei Shleifer, Robert Vishny",884170,345024,500024,,1992-01-10,2012-01-10,True,English,Expired
171317,100771,Contact sports and their practical usage,Computer Science,"SHERIDAN TITMAN, ROBERTO WESSELS",36636,345025,500025,,2003-06-27,2023-06-27,False,English,Approved
171324,100250,Sport scholarship: is it justified?,Computer Science,"Kristin J. Forbes, Roberto Rigobon",943336,345026,500026,,2007-06-20,2027-06-20,True,English,Approved
171327,102121,Sportspeople who changed the history,Computer Science,"Stijn Claessens, Simeon Djankov, Joseph P. H. Fan, Larry H. P. Lang",472298,345027,500027,,2008-08-25,2028-08-25,False,English,Approved
171329,102293,The most important sport events in history,Computer Science,EUGENE F. FAMA,986803,345028,500028,,1996-11-13,2016-11-13,True,English,Expired
171335,101162,Quitting sport: the life of the professional sportspeople after the sport career,Computer Science,"JOSEF LAKONISHOK, ANDREI SHLEIFER, ROBERT W. VISHNY",738834,345029,500029,,1986-06-05,2006-06-05,False,English,Expired
171344,102126,Psychology of sport: how does psychic influences the sport career?,Computer Science,Terrance Odean,359088,345030,500030,,1988-06-25,2008-06-25,True,English,Expired
171348,100290,Trainers and training strategies,AI & ML,Robert C. Merton,642528,345031,500031,,2012-09-24,2032-09-24,True,English,Approved
171349,101517,The differences between team sports and solo ones,AI & ML,"Brad M. Barber, Terrance Odean",507464,345032,500032,,1991-06-21,2011-06-21,True,English,Expired
171350,102189,Sport psychologists: why are they needed?,AI & ML,"Erik R. Sirri, Peter Tufano",319219,345033,500033,,1981-03-25,2001-03-25,False,English,Expired
171359,102364,The role of family support for sportspeople,AI & ML,ROBERT C. MERTON,327697,345034,500034,,1990-10-03,2010-10-03,True,English,Expired
171367,100305,Sports and prejudices against sportspeople,AI & ML,RAGHURAM G. RAJAN,500146,345035,500035,,1980-04-04,2000-04-04,False,English,Expired
171369,101383,What age is appropriate for starting professional sports?,AI & ML,"TIM LOUGHRAN, JAY R. RITTER",177625,345036,500036,,2007-04-05,2027-04-05,True,English,Approved
171374,101482,Children and professional sports: the importance of psychological balance,AI & ML,JAY R. RITTER,133825,345037,500037,,1988-11-10,2008-11-10,True,English,Expired
171379,100932,Sports as business. Sport managers,AI & ML,"Malcolm Baker, Jeffrey Wurgler",857305,345038,500038,,1992-03-20,2012-03-20,False,English,Expired
171381,100184,Sports laws in different countries,AI & ML,PAUL C. TETLOCK,623608,345039,500039,,2012-11-16,2032-11-16,False,English,Approved
171384,101253,Nationalism and sports,AI & ML,Edward M. Miller,461044,345040,500040,,1985-10-24,2005-10-24,True,English,Expired
171389,101490,On Persistence in Mutual Fund Performance,Mathematics,Mark M. Carhart,351864,345041,500041,,2003-04-11,2023-04-11,False,English,Approved
171390,101266,A Survey of Corporate Governance,Mathematics,"Andrei Shleifer, Robert W. Vishny",998020,345042,500042,,1991-04-21,2011-04-21,True,English,Expired
171398,101070,Corporate Ownership Around the World,Mathematics,"Rafael La Porta, Florencio Lopez-De-Silanes, Andrei Shleifer",294731,345043,500043,,2009-12-17,2029-12-17,True,English,Approved
171400,101332,Returns to Buying Winners and Selling Losers: Implications for Stock Market Efficiency,Mathematics,"NARASIMHAN JEGADEESH, SHERIDAN TITMAN",778039,345044,500044,,2015-08-28,2035-08-28,False,English,Approved
171404,100721,The Cross-Section of Expected Stock Returns,Mathematics,"EUGENE F. FAMA, KENNETH R. FRENCH",626024,345045,500045,,1991-12-17,2011-12-17,False,English,Expired
171406,100053,Legal Determinants of External Finance,Mathematics,"RAFAEL LA PORTA, FLORENCIO LOPEZ-DE-SILANES, ANDREI SHLEIFER, ROBERT W. VISHNY",732399,345046,500046,,1985-11-01,2005-11-01,False,English,Expired
171412,100380,"The Modern Industrial Revolution, Exit, and the Failure of Internal Control Systems",Mathematics,MICHAEL C. JENSEN,733981,345047,500047,,1986-08-24,2006-08-24,False,English,Expired
171418,100740,"FINANCIAL RATIOS, DISCRIMINANT ANALYSIS AND THE PREDICTION OF CORPORATE BANKRUPTCY",Mathematics,Edward I. Altman,182004,345048,500048,,1980-08-17,2000-08-17,True,English,Expired
171419,101874,Investor Psychology and Security Market Under- and Overreactions,Mathematics,"Kent Daniel, David Hirshleifer, Avanidhar Subrahmanyam",915760,345049,500049,,2004-07-13,2024-07-13,True,English,Approved
171420,101323,Multifactor Explanations of Asset Pricing Anomalies,Mathematics,"EUGENE F. FAMA, KENNETH R. FRENCH",909424,345050,500050,,2017-05-03,2037-05-03,True,English,Approved
171429,100090,Does the Stock Market Overreact?,Mathematics,"WERNER F. M. De BONDT, RICHARD THALER",308356,345051,500051,,2005-09-26,2025-09-26,True,English,Approved
171436,101913,On the Relation between the Expected Value and the Volatility of the Nominal Excess Return on Stocks,Mathematics,"LAWRENCE R. GLOSTEN, RAVI JAGANNATHAN, DAVID E. RUNKLE",666286,345052,500052,,1989-05-22,2009-05-22,False,English,Expired
171442,100438,Founding-Family Ownership and Firm Performance: Evidence from the S&P 500,Mathematics,"Ronald C. Anderson, David M. Reeb",226520,345053,500053,,2007-05-17,2027-05-17,False,English,Approved
171446,102038,What Do We Know about Capital Structure? Some Evidence from International Data,Mathematics,"RAGHURAM G. RAJAN, LUIGI ZINGALES",873756,345054,500054,,2009-03-12,2029-03-12,True,English,Approved
171455,100308,PORTFOLIO SELECTION*,Mathematics,Harry Markowitz,34316,345055,500055,,2002-04-26,2022-04-26,True,English,Approved
171457,101717,"COUNTERSPECULATION, AUCTIONS, AND COMPETITIVE SEALED TENDERS",Mathematics,William Vickrey,945961,345056,500056,,2001-03-05,2021-03-05,False,English,Approved
171466,101418,The Limits of Arbitrage,Mathematics,"Andrei Shleifer, Robert W. Vishny",177718,345057,500057,,2018-10-13,2038-10-13,False,English,Approved
171471,102005,CAPITAL ASSET PRICES: A THEORY OF MARKET EQUILIBRIUM UNDER CONDITIONS OF RISK*,Mathematics,William F. Sharpe,387889,345058,500058,,2013-04-24,2033-04-24,True,English,Approved
171473,102434,Risks for the Long Run: A Potential Resolution of Asset Pricing Puzzles,Mathematics,"Ravi Bansal, Amir Yaron",756084,345059,500059,,1991-09-05,2011-09-05,True,Gagauz,Expired
171474,101899,Investor Sentiment and the Cross-Section of Stock Returns,Mathematics,"MALCOLM BAKER, JEFFREY WURGLER",483704,345060,500060,,1986-09-08,2006-09-08,False,Luxembourgish,Expired
171475,101418,The Cross-Section of Volatility and Expected Returns,Mathematics,"ANDREW ANG, ROBERT J. HODRICK, YUHANG XING, XIAOYAN ZHANG",716637,345061,500061,,2002-06-16,2022-06-16,True,New Zealand Sign Language,Approved
171482,102180,The Benefits of Lending Relationships: Evidence from Small Business Data,Mathematics,"MITCHELL A. PETERSEN, RAGHURAM G. RAJAN",341345,345062,500062,,1988-05-28,2008-05-28,True,Tajik,Expired
171489,100005,"A Unified Theory of Underreaction, Momentum Trading, and Overreaction in Asset Markets",Mathematics,"Harrison Hong, Jeremy C. Stein",327315,345063,500063,,1986-06-12,2006-06-12,False,Japaneese,Expired
171490,100535,Investor Protection and Corporate Valuation,Mathematics,"Rafael La Porta, Florencio Lopez-De-Silanes, Andrei Shleifer, Robert Vishny",906470,345064,500064,,1995-06-08,2015-06-08,True,Japaneese,Expired
171497,100689,The Determinants of Capital Structure Choice,Mathematics,"SHERIDAN TITMAN, ROBERTO WESSELS",587226,345065,500065,,1988-07-05,2008-07-05,False,Japaneese,Expired
171502,101987,"No Contagion, Only Interdependence: Measuring Stock Market Comovements",Chemistry,"Kristin J. Forbes, Roberto Rigobon",611779,345066,500066,,2005-06-09,2025-06-09,False,Japaneese,Approved
171503,102293,Disentangling the Incentive and Entrenchment Effects of Large Shareholdings,Chemistry,"Stijn Claessens, Simeon Djankov, Joseph P. H. Fan, Larry H. P. Lang",564867,345067,500067,,2002-08-14,2022-08-14,False,Japaneese,Approved
171510,101927,Efficient Capital Markets: II,Chemistry,EUGENE F. FAMA,492283,345068,500068,,1985-05-25,2005-05-25,False,Japaneese,Expired
171518,102135,"Contrarian Investment, Extrapolation, and Risk",Chemistry,"JOSEF LAKONISHOK, ANDREI SHLEIFER, ROBERT W. VISHNY",705545,345069,500069,,2001-02-15,2021-02-15,False,Japaneese,Approved
171523,101332,Are Investors Reluctant to Realize Their Losses?,Chemistry,Terrance Odean,215844,345070,500070,,2006-05-21,2026-05-21,False,Japaneese,Approved
171529,101938,ON THE PRICING OF CORPORATE DEBT: THE RISK STRUCTURE OF INTEREST RATES*,Chemistry,Robert C. Merton,689668,345071,500071,,2008-09-13,2028-09-13,True,Japaneese,Approved
171537,100933,Trading Is Hazardous to Your Wealth: The Common Stock Investment Performance of Individual Investors,Chemistry,"Brad M. Barber, Terrance Odean",749539,345072,500072,,1994-06-21,2014-06-21,False,Japaneese,Expired
171539,101666,Costly Search and Mutual Fund Flows,Chemistry,"Erik R. Sirri, Peter Tufano",172986,345073,500073,,2013-08-10,2033-08-10,False,Japaneese,Approved
171540,100484,A Simple Model of Capital Market Equilibrium with Incomplete Information,Chemistry,ROBERT C. MERTON,270499,345074,500074,,2020-10-12,2040-10-12,True,Japaneese,Approved
171548,100277,Insiders and Outsiders: The Choice between Informed and Arm's-Length Debt,Chemistry,RAGHURAM G. RAJAN,843995,345075,500075,,2011-04-05,2031-04-05,True,Japaneese,Approved
171550,101677,The New Issues Puzzle,Chemistry,"TIM LOUGHRAN, JAY R. RITTER",532049,345076,500076,,2009-11-22,2029-11-22,True,Japaneese,Approved
171551,100442,The Long-Run Performance of initial Public Offerings,Chemistry,JAY R. RITTER,364956,345077,500077,,1991-03-17,2011-03-17,False,Japaneese,Expired
171553,101388,Market Timing and Capital Structure,Chemistry,"Malcolm Baker, Jeffrey Wurgler",957882,345078,500078,,1980-05-08,2000-05-08,False,Japaneese,Expired
171556,100924,Giving Content to Investor Sentiment: The Role of Media in the Stock Market,Chemistry,PAUL C. TETLOCK,492063,345079,500079,,1991-03-02,2011-03-02,False,Japaneese,Expired
171562,100355,"RISK, UNCERTAINTY, AND DIVERGENCE OF OPINION",Chemistry,Edward M. Miller,106696,345080,500080,,1998-06-17,2018-06-17,False,Japaneese,Expired
171570,101016,Measuring and Testing the Impact of News on Volatility,Chemistry,"ROBERT F. ENGLE, VICTOR K. NG",768774,345081,500081,,1984-10-13,2004-10-13,False,Japaneese,Expired
171574,100472,Extreme Correlation of International Equity Markets,Chemistry,"François Longin, Bruno Solnik",942806,345082,500082,,1986-09-08,2006-09-08,True,Japaneese,Expired
171579,101490,Why Does Stock Market Volatility Change Over Time?,Chemistry,G. WILLIAM SCHWERT,306475,345083,500083,,1987-09-13,2007-09-13,True,Japaneese,Expired
171586,102162,CEO Overconfidence and Corporate Investment,Chemistry,"ULRIKE MALMENDIER, GEOFFREY TATE",193671,345084,500084,,2008-12-07,2028-12-07,True,Japaneese,Approved
171590,100569,Conditional Skewness in Asset Pricing Tests,Chemistry,"Campbell R. Harvey, Akhtar Siddique",548916,345085,500085,,2004-03-28,2024-03-28,True,Japaneese,Approved
171593,101294,THE PERFORMANCE OF MUTUAL FUNDS IN THE PERIOD 1945-1964,Chemistry,Michael C. Jensen,168143,345086,500086,,2014-06-15,2034-06-15,False,Japaneese,Approved
171597,102070,The Theory of Capital Structure,Chemistry,"MILTON HARRIS, ARTUR RAVIV",61372,345087,500087,,1982-03-11,2002-03-11,False,Japaneese,Expired
171606,100225,Home Bias at Home: Local Equity Preference in Domestic Portfolios,Chemistry,"Joshua D. Coval, Tobias J. Moskowitz",103769,345088,500088,,2021-11-13,2041-11-13,True,Japaneese,Approved
171610,102311,Information and the Cost of Capital,Chemistry,"David Easley, Maureen O'hara",363785,345089,500089,,2007-06-12,2027-06-12,False,Japaneese,Approved
171612,100689,Profitability of Momentum Strategies: An Evaluation of Alternative Explanations,Chemistry,"Narasimhan Jegadeesh, Sheridan Titman",177881,345090,500090,,1987-01-11,2007-01-11,True,Japaneese,Expired
171621,100569,The Resilience of Life to Astrophysical Events,Political Science,David Sloan,696805,345091,500091,,1980-11-25,2000-11-25,False,Japaneese,Expired
171630,102318,Achievement of Sustained Net Plasma Heating in a Fusion Experiment with the Optometrist Algorithm,Political Science,E. A. Baltz,717410,345092,500092,,2015-08-16,2035-08-16,False,Japaneese,Approved
171639,101294,Coronal mass ejections are not coherent magnetohydrodynamic structures,Political Science,M. J. Owens,400721,345093,500093,,1991-06-14,2011-06-14,True,Japaneese,Expired
171640,100867,Magnetic field sensor based on a combination of a microfiber coupler covered with magnetic fluid and a Sagnac loop,Political Science,Fangfang Wei,449742,345094,500094,,1991-11-14,2011-11-14,False,Japaneese,Expired
171645,102165,Invisibility Cloaking Scheme by Evanescent Fields Distortion on Composite Plasmonic Waveguides with Si Nano-Spacer,Political Science,Yakov Galutin,267752,345095,500095,,2002-04-24,2022-04-24,False,Japaneese,Approved
171654,100734,Global mapping of stratigraphy of an old-master painting using sparsity-based terahertz reflectometry,Political Science,Junliang Dong,151782,345096,500096,,2021-02-22,2041-02-22,False,Japaneese,Approved
171657,101116,Superconductivity in Ti4O7 and γ-Ti3O5 films,Political Science,K. Yoshimatsu,941184,345097,500097,,2009-04-17,2029-04-17,True,Japaneese,Approved
171661,100689,Blue organic light-emitting diodes realizing external quantum efficiency over 25% using thermally activated delayed fluorescence emitters,Political Science,Takuya Miwa,758211,345098,500098,,1983-12-09,2003-12-09,False,Japaneese,Expired
171663,101016,Characterization of an industry-grade CMOS camera well suited for single molecule localization microscopy – high performance super-resolution at low cost,Political Science,Robin Diekmann,194211,345099,500099,,1994-02-13,2014-02-13,False,Japaneese,Expired
171666,101885,Quantum detection of wormholes,Political Science,Carlos Sabín,791200,345100,500100,,2021-08-22,2041-08-22,False,Japaneese,Approved
171669,100764,On-Chip Glass Microspherical Shell Whispering Gallery Mode Resonators,Political Science,Chenchen Zhang,39349,345101,500101,,1998-03-10,2018-03-10,True,Japaneese,Expired
171678,101123,Optical metasurfaces for high angle steering at visible wavelengths,Political Science,Dianmin Lin,641476,345102,500102,,1998-12-11,2018-12-11,True,Japaneese,Expired
171682,100364,Valence Change Bipolar Resistive Switching Accompanied With Magnetization Switching in CoFe2O4 Thin Film,Political Science,Sandeep Munjal &,457937,345103,500103,,2007-01-21,2027-01-21,True,Japaneese,Approved
171691,102285,High-efficiency grating-couplers: demonstration of a new design strategy,Political Science,Riccardo Marchetti,79409,345104,500104,,1996-08-03,2016-08-03,False,Japaneese,Expired
