Title,Subject,Inventors
"Biotechnology, medicine, and computer science",Computer Science,Lillian L. Burt
Neuron networks and machine learning,Computer Science,Lois F. Cantrell
Big data analysis,Computer Science,Lisandra V. Lopez
Virtual reality and its connection to human perception,Computer Science,Hayes K. Holder
The success of computer-assisted education,Computer Science,Molly A. Brennan
Computer assistance in support services,Computer Science,Willa Q. Nunez
Database architecture and management,Computer Science,Anthony O. Sweeney
Human-computer interactions. The importance of usability,Computer Science,Preston S. Sims
The limits of computation and communication,Computer Science,Solomon I. Mathis
Computers and media. Where is the line between art and math modeling?,Computer Science,Martena Q. Powell
Why there are so much programming languages?,Computer Science,Elton P. Sheppard
Digital security versus private information,Computer Science,Samuel Z. Hicks
Encrypting and decrypting,Computer Science,Claudia S. England
Quantum computers. Are they the future?,Computer Science,Neve E. Sheppard
Is the evolution of search algorithms finished?,Computer Science,Wynter J. Farley
The importance of open source software,Computer Science,Dorian H. Foreman
Portable gadgets and the peculiarities of software development for them,Computer Science,Cedric A. Logan
Cloud storages: advantages and disadvantages,Computer Science,Michelle R. Hyde
Computer viruses: the main principles of work and the hazards,Computer Science,Uriel G. Lester
"DDOS attacks, their danger on the global scale and their prevention",Computer Science,Dexter P. Stark
Is SCRUM methodology the best-invented one for computer science?,Computer Science,Drake F. Morrison
The online medicine apps: can they sometimes substitute the treatment of real doctors?,Computer Science,Vivien N. Patterson
5G Wireless System: is it the future?,Computer Science,Grace A. Workman
"Windows, macOS, UNIX – what OS is the most perspective now?",Computer Science,Preston D. Gallegos
Biometric systems and recognizing,Computer Science,Clinton N. Nash
Ethical hacking. Who are the “white hat hackers”?,Computer Science,Aretha Q. Snider
Cyborgs: is it sci-fi or nearest future?,Computer Science,Connor Y. Alvarado
The ATM and bank security,Computer Science,Yvette N. Walsh
The evolution of torrents,Computer Science,Ezra G. Preston
What is blockchain?,Computer Science,Kathleen L. Steele
"The Lottery Ticket Hypothesis: Finding Sparse, Trainable Neural Networks",AI & ML,Kaye J. Delaney
Challenging Common Assumptions in the Unsupervised Learning of Disentangled Representations,AI & ML,Tanya U. Mcmahon
Meta-Learning Update Rules for Unsupervised Representation Learning,AI & ML,Mark M. Carhart
On the Variance of the Adaptive Learning Rate and Beyond,AI & ML,"Andrei Shleifer, Robert W. Vishny"
XLNet: Generalized Autoregressive Pretraining for Language Understanding,AI & ML,"Rafael La Porta, Florencio Lopez-De-Silanes, Andrei Shleifer"
ALBERT: A Lite BERT for Self-supervised Learning of Language Representations,AI & ML,"NARASIMHAN JEGADEESH, SHERIDAN TITMAN"
Transferable Multi-Domain State Generator for Task-Oriented Dialogue Systems,AI & ML,"EUGENE F. FAMA, KENNETH R. FRENCH"
A Theory of Fermat Paths for Non-Line-of-Sight Shape Reconstruction,AI & ML,"RAFAEL LA PORTA, FLORENCIO LOPEZ-DE-SILANES, ANDREI SHLEIFER, ROBERT W. VISHNY"
Social Influence as Intrinsic Motivation for Multi-Agent Deep Reinforcement Learning,AI & ML,MICHAEL C. JENSEN
Learning Existing Social Conventions via Observationally Augmented Self-Play,AI & ML,Edward I. Altman
The history of mathematics,Mathematics,"Kent Daniel, David Hirshleifer, Avanidhar Subrahmanyam"
Greek math theories and inventions,Mathematics,"EUGENE F. FAMA, KENNETH R. FRENCH"
The math of ancient great buildings,Mathematics,"WERNER F. M. De BONDT, RICHARD THALER"
The math of Universe. Universal constants,Mathematics,"LAWRENCE R. GLOSTEN, RAVI JAGANNATHAN, DAVID E. RUNKLE"
Astronomy and math. How can we know about what we have never seen?,Mathematics,"Ronald C. Anderson, David M. Reeb"
The greatest mathematicians and their role in the history,Mathematics,"RAGHURAM G. RAJAN, LUIGI ZINGALES"
The greatest math invention in history,Mathematics,Harry Markowitz
Euclidean and non-Euclidean geometries. Going beyond the space we used to,Mathematics,William Vickrey
Unsolved problems in math,Mathematics,"Andrei Shleifer, Robert W. Vishny"
Math and Quantum theory,Mathematics,William F. Sharpe
Math and Philosophy,Mathematics,"Ravi Bansal, Amir Yaron"
Art and math: are they connected?,Mathematics,"MALCOLM BAKER, JEFFREY WURGLER"
Algebra,Mathematics,"ANDREW ANG, ROBERT J. HODRICK, YUHANG XING, XIAOYAN ZHANG"
Number theory,Mathematics,"MITCHELL A. PETERSEN, RAGHURAM G. RAJAN"
Math and the AI concepts,Mathematics,"Harrison Hong, Jeremy C. Stein"
Math in nature,Mathematics,"Rafael La Porta, Florencio Lopez-De-Silanes, Andrei Shleifer, Robert Vishny"
Math in our daily life,Mathematics,"SHERIDAN TITMAN, ROBERTO WESSELS"
Math and Probabilities,Mathematics,"Kristin J. Forbes, Roberto Rigobon"
Fundamental mathematical theorems,Mathematics,"Stijn Claessens, Simeon Djankov, Joseph P. H. Fan, Larry H. P. Lang"
Sports and math,Mathematics,EUGENE F. FAMA
Is Math unique for humans only?,Mathematics,"JOSEF LAKONISHOK, ANDREI SHLEIFER, ROBERT W. VISHNY"
STEM Education: why math is so important?,Mathematics,Terrance Odean
Math and formal logic,Mathematics,Robert C. Merton
The math of time,Mathematics,"Brad M. Barber, Terrance Odean"
Math and gender,Mathematics,"Erik R. Sirri, Peter Tufano"
Thermoelectric materials,Chemistry,ROBERT C. MERTON
Enhanced performance separators,Chemistry,RAGHURAM G. RAJAN
The chemical properties of the artificial organic tissues,Chemistry,"TIM LOUGHRAN, JAY R. RITTER"
Environmental toxicology,Chemistry,JAY R. RITTER
Bioconjugates in chemical biology,Chemistry,"Malcolm Baker, Jeffrey Wurgler"
Chemistry of nanoreactors,Chemistry,PAUL C. TETLOCK
Chemical neuroscience and behaviour,Chemistry,Edward M. Miller
Atmospheric physical chemistry,Chemistry,"ROBERT F. ENGLE, VICTOR K. NG"
Enzymology in chemical toxicology,Chemistry,"François Longin, Bruno Solnik"
Process intensification,Chemistry,G. WILLIAM SCHWERT
Adverse outcome pathways,Chemistry,"ULRIKE MALMENDIER, GEOFFREY TATE"
Battery science and technology,Chemistry,"Campbell R. Harvey, Akhtar Siddique"
Photons and physical chemistry,Chemistry,Michael C. Jensen
Climate chemistry,Chemistry,"MILTON HARRIS, ARTUR RAVIV"
Ionization methods in mass spectrometry,Chemistry,"Joshua D. Coval, Tobias J. Moskowitz"
Pesticides and their chemical influence,Chemistry,"David Easley, Maureen O'hara"
Food dyes and their chemistry,Chemistry,"Narasimhan Jegadeesh, Sheridan Titman"
The chemistry of allergy,Chemistry,David Sloan
Bonding of fluorine and inert gases,Chemistry,E. A. Baltz
Methods of stabilising lithium to prevent its corrosion on contact with oxygen,Chemistry,M. J. Owens
A look at surface tension and its implications for the future of transportation,Chemistry,Fangfang Wei
Beryllium and its ability to ameliorate the strengths of other metals to which it is added,Chemistry,Yakov Galutin
A look at the use of hydrogen in discovering the presence of oxygen,Chemistry,Junliang Dong
Exploring the differences and similarities between ionic and covalent bonds,Chemistry,K. Yoshimatsu
The ramifications of silicon as a semiconductor being used heavily in the practice of cosmetic surgery,Chemistry,Takuya Miwa
The history of politics: when and how it was created and how it evolved,Political Science,Robin Diekmann
The politics and war history: is every war a political decision?,Political Science,Carlos Sabín
Political science overview. Basics and methodology,Political Science,Chenchen Zhang
Political Psychology,Political Science,Dianmin Lin
The influence of cultural norm on politics,Political Science,Sandeep Munjal &
Politics and religion: is politics always rational?,Political Science,Riccardo Marchetti
The prominent personalities in politics (choose the country and timeframe),Political Science,Jong-Young Hong
