Renewal_Application_ID,Patent_ID,Application_Office_ID,Examiner_ID,Fees_Paid,Renewal_Status
312500,171203,2,500199,False,False
312501,171212,1,500072,False,False
312502,171222,4,500093,False,False
312503,171241,3,500273,False,False
312504,171269,1,500309,False,False
312505,171282,1,500249,False,False
312506,171302,3,500249,False,False
312507,171310,2,500014,False,False
312508,171329,3,500249,False,False
312509,171344,1,500025,False,False
312510,171350,3,500011,False,False
312511,171367,4,500213,False,False
312512,171379,1,500030,False,False
312513,171390,1,500248,False,False
312514,171406,3,500237,False,False
312515,171418,2,500151,False,False
312516,171473,4,500108,False,False
312517,171482,3,500219,False,False
312518,171490,2,500023,False,False
312519,171510,4,500257,False,False
312520,171551,2,500224,False,False
312521,171556,1,500268,False,False
312522,171570,1,500043,False,False
312523,171579,4,500320,False,False
312524,171612,1,500037,False,False
312525,171639,2,500246,False,False
312526,171661,4,500126,False,False
312527,171669,1,500122,False,False
312528,171691,3,500014,False,False
312529,171696,4,500093,False,False
312530,171713,4,500016,False,False
312531,171734,2,500316,False,False
312532,171758,3,500078,False,False
312533,171776,1,500072,False,False
312534,171818,2,500199,False,False
312535,171841,2,500057,False,False
312536,171862,2,500139,False,False
312537,171891,4,500031,False,False
312538,171897,4,500043,False,False
312539,171914,4,500265,False,False
312540,171942,4,500283,False,False
312541,171972,2,500316,False,False
312542,172002,4,500092,False,False
312543,172015,3,500230,False,False
312544,172022,3,500199,False,False
312545,172038,2,500059,False,False
312546,172057,4,500020,False,False
312547,172074,2,500192,False,False
312548,172110,2,500254,False,False
312549,172149,4,500315,False,False
312550,172156,3,500212,False,False
312551,172188,2,500091,False,False
312552,172199,4,500007,False,False
312553,172239,3,500218,False,False
312554,172266,4,500253,False,False
312555,172280,4,500164,False,False
312556,172291,1,500048,False,False
312557,172297,2,500294,False,False
312558,172310,3,500060,False,False
312559,172345,4,500033,False,False
312560,172378,4,500319,False,False
312561,172390,3,500264,False,False
312562,172413,1,500283,False,False
312563,172441,4,500303,False,False
312564,172454,1,500186,False,False
312565,172479,4,500079,False,False
312566,172500,1,500309,False,False
312567,172506,1,500281,False,False
312568,172534,3,500170,False,False
312569,172547,2,500242,False,False
312570,172584,1,500158,False,False
312571,172605,2,500238,False,False
312572,172624,2,500064,False,False
312573,172637,4,500099,False,False
312574,172654,1,500295,False,False
312575,172690,3,500140,False,False
312576,172716,2,500266,False,False
312577,172728,4,500217,False,False
312578,172746,4,500131,False,False
312579,172755,4,500187,False,False
312580,172764,2,500204,False,False
312581,172774,3,500065,False,False
312582,172815,2,500150,False,False
312583,172824,2,500288,False,False
312584,172844,4,500234,False,False
312585,172853,4,500060,False,False
312586,172882,4,500216,False,False
312587,172917,1,500054,False,False
312588,172928,2,500179,False,False
312589,172956,1,500016,False,False
312590,172981,4,500206,False,False
312591,172995,3,500276,False,False
312592,173003,1,500240,False,False
312593,173018,1,500233,False,False
312594,173033,3,500087,False,False
312595,173055,4,500287,False,False
312596,173080,1,500051,False,False
312597,173088,2,500137,False,False
312598,173104,3,500016,False,False
312599,173127,1,500255,False,False
312600,173150,2,500228,False,False
312601,173197,1,500023,False,False
312602,173227,1,500261,False,False
312603,173236,3,500094,False,False
312604,173256,1,500226,False,False
312605,173287,2,500209,False,False
312606,173337,4,500052,False,False
312607,173348,2,500032,False,False
312608,173362,4,500240,False,False
312609,173395,1,500115,False,False
312610,173443,1,500059,False,False
312611,173460,2,500058,False,False
312612,173464,4,500134,False,False
312613,173483,3,500162,False,False
312614,173530,3,500090,False,False
312615,173548,1,500318,False,False
312616,173564,4,500294,False,False
312617,173569,2,500068,False,False
312618,173584,1,500147,False,False
312619,173592,1,500285,False,False
312620,173610,1,500290,False,False
312621,173626,4,500316,False,False
312622,173641,1,500242,False,False
312623,173659,2,500302,False,False
312624,173699,2,500299,False,False
312625,173710,2,500013,False,False
312626,173743,3,500199,False,False
312627,173816,2,500013,False,False
312628,173823,4,500034,False,False
312629,173832,1,500022,False,False
312630,173859,4,500162,False,False
312631,173871,2,500058,False,False
312632,173883,2,500165,False,False
312633,173903,1,500226,False,False
312634,173920,2,500255,False,False
312635,173932,4,500319,False,False
312636,173950,3,500018,False,False
312637,173959,4,500167,False,False
312638,173965,3,500036,False,False
312639,174004,2,500050,False,False
312640,174034,1,500255,False,False
312641,174044,2,500258,False,False
312642,174053,1,500276,False,False
312643,174066,4,500099,False,False
312644,174086,1,500303,False,False
312645,174106,2,500320,False,False
312646,174116,3,500235,False,False
312647,174124,2,500251,False,False
312648,174171,1,500312,False,False
312649,174190,1,500263,False,False
312650,174207,2,500208,False,False
312651,174229,1,500112,False,False
312652,174263,1,500286,False,False
312653,174282,2,500115,False,False
312654,174298,1,500208,False,False
312655,174309,2,500117,False,False
312656,174325,1,500318,False,False
312657,174344,3,500160,False,False
312658,174378,2,500283,False,False
312659,174394,2,500309,False,False
312660,174411,1,500125,False,False
